연번,광역자치단체명,기초자치단체명,축제명,축제 유형,시작일,종료일
888,전남,신안군,2025년 섬 크로코스미아꽃 축제,자연생태-꽃·식물,2025-07-04,2025-07-13
889,전남,신안군,섬 홍도 원추리꽃 축제,자연생태-꽃·식물,2025-07-04,2025-07-13
890,전남,신안군,섬 민어축제,지역특산물-먹거리·로컬장터,2025-08-02,2025-08-03
891,전남,신안군,제1회 섬 목수국축제,문화예술-음악·공연,2025-09-18,2025-09-21
892,전남,신안군,아스타축제,자연생태-산·숲·생태,2025-09-26,2025-10-12
893,전남,신안군,섬 왕새우축제,지역특산물-먹거리·로컬장터,2025-10-01,2025-10-10
894,전남,신안군,섬 맨드라미 축제,문화예술-음악·공연,2025-10-03,2025-10-12
895,전남,신안군,2025년 국제꽃장식대회,자연생태-꽃·식물,2025-10-17,2025-10-18
896,전남,신안군,섬 불볼락축제,지역특산물-먹거리·로컬장터,2025-10-24,2025-10-25
897,전남,신안군,2025년 섬 함초 축제,자연생태-물·바다·호수·섬,2025-10-24,2025-10-26
898,전남,신안군,섬 아자니아 축제,자연생태-물·바다·호수·섬,2025-11-01,2025-11-10
899,전남,신안군,1004섬 분재정원 분재대전,자연생태-물·바다·호수·섬,2025-11-07,2025-11-16
900,전남,신안군,섬 우럭축제,지역특산물-먹거리·로컬장터,2025-11-22,2025-11-23
901,전남,신안군,섬 새우젓축제,지역특산물-먹거리·로컬장터,2025-11-24,2025-11-25
902,전남,신안군,2025년 섬 겨울꽃 축제,자연생태-꽃·식물,2025-12-19,2026-01-31
903,전북,-,전주세계소리축제,문화예술-음악·공연,2025-08-13,2025-08-17
904,전북,전주시,2025 전주세계문화주간,문화예술-음악·공연,2025-05-02,2025-05-08
905,전북,전주시,제50회 전주대사습놀이전국대회,문화예술-음악·공연,2025-05-10,2025-05-26
906,전북,전주시,2025 전주문화유산야행,문화예술-음악·공연,2025-05-23,2025-05-24
907,전북,전주시,2025 전주문화유산야행,문화예술-음악·공연,2025-10-17,2025-10-18
908,전북,전주시,2025 전주단오,전통역사-전통·민속,2025-05-31,2025-06-01
909,전북,전주시,2025 전주연꽃문화제,문화예술-음악·공연,2025-07-19,2025-07-20
911,전북,전주시,제8회 전주독서대전,문화예술-문학·독서,2025-09-05,2025-09-07
920,전북,군산시,제8회 군산 우체통거리 손편지축제,문화예술-음악·공연,2025-09-26,2025-09-27
921,전북,군산시,제4회 군산짬뽕페스티벌,문화예술-음악·공연,2025-11-01,2025-11-02
922,전북,군산시,제4회 군산 수제맥주&블루스 페스티벌,지역특산물-술·음료,2025-06-20,2025-06-22
923,전북,군산시,제20회 군산꽁당보리축제,지역특산물-먹거리·로컬장터,2025-05-02,2025-05-05
924,전북,익산시,2025년 익산서동축제,전통역사-전통·민속,2025-05-03,2025-05-06
925,전북,익산시,2025 익산 문화유산야행,전통역사-전통·민속,2025-04-18,2025-04-20
926,전북,익산시,제22회 익산 천만송이 국화축제,자연생태-산·숲·생태,2025-10-24,2025-11-02
